Movie_Title,Release_Date,Genre,,Director,Cast,Budget,BoxOfficeRevenue
Noah,3/10/2014,Adventure,,Darren Aronofsky,Russell Crowe,"$125,000,000.00 ","$362,600,000.00 "
Non-Stop,1/27/2014,Thriller,,Jaume Collet-Serra,Liam Neeson,"$50,000,000.00 ","$222,800,000.00 "
Now You See Me,5/31/2013,Crime,,Louis Leterrier,Jesse Eisenberg,"$75,000,000.00 ","$351,700,000.00 "
Now You See Me 2,6/6/2016,Thriller,,Jon M. Chu,Mark Ruffalo,"$90,000,000.00 ","$320,900,000.00 "
Oblivion,4/10/2013,Action,,Joseph Kosinski,Tom Cruise,"$120,000,000.00 ","$286,200,000.00 "
Olympus Has Fallen,3/22/2013,Action,,Antoine Fuqua,Gerard Butler,"$70,000,000.00 ","$161,000,000.00 "
One Direction: This Is Us,8/29/2013,Documentary,,Morgan Spurlock,Harry Styles,"$10,000,000.00 ","$68,500,000.00 "
One for the Money,1/27/2012,Crime,,Julie Anne Robinson,Katherine Heigl,"$40,000,000.00 ","$36,900,000.00 "
Ouija,10/24/2014,Horror,,Stiles White,Douglas Smith,"$5,000,000.00 ","$103,600,000.00 "
Our Brand Is Crisis,9/11/2015,Comedy,,David Gordon Green,Sandra Bullock,"$28,000,000.00 ","$8,600,000.00 "
Pacific Rim,7/12/2013,Action,,Guillermo del Toro,Charlie Hunnam,"$190,000,000.00 ","$411,000,000.00 "
Pain & Gain,4/26/2013,Action,,Michael Bay,Mark Wahlberg,"$26,000,000.00 ","$86,200,000.00 "
Pan,9/30/2015,Fantasy,,Joe Wright,Hugh Jackman,"$150,000,000.00 ","$128,400,000.00 "
Paper Towns,7/24/2015,Romance,,Jake Schreier,Nat Wolff,"$12,000,000.00 ","$85,500,000.00 "
Paranormal Activity 4,10/19/2012,Thriller,,Ariel Schulman,Kathryn Newton,"$5,000,000.00 ","$142,800,000.00 "
Paranormal Activity: The Ghost Dimension,10/23/2015,Horror,,Gregory Plotkin,Katie Featherston,"$10,000,000.00 ","$78,100,000.00 "
ParaNorman,8/17/2012,Fantasy,,Chris Butler,Kodi Smit-McPhee,"$60,000,000.00 ","$107,100,000.00 "
Parental Guidance,12/25/2012,Comedy,,Andy Fickman,Billy Crystal,"$25,000,000.00 ","$119,800,000.00 "
Parker,1/25/2013,Crime,,Taylor Hackford,Jason Statham,"$35,000,000.00 ","$48,500,000.00 "
Paul Blart: Mall Cop 2,4/17/2015,Action,,Andy Fickman,Kevin James,"$40,000,000.00 ","$107,600,000.00 "
Pawn Sacrifice,9/11/2015,Biography,,Ed Zwick,Tobey Maguire,"$19,000,000.00 ","$5,400,000.00 "
Penguins of Madagascar,11/14/2014,Family,,Simon J. Smith,Tom McGrath,"$132,000,000.00 ","$373,000,000.00 "
People Like Us,6/29/2012,Drama,,Alex Kurtzman,Chris Pine,"$16,000,000.00 ","$12,400,000.00 "
Percy Jackson: Sea of Monsters,8/7/2013,Adventure,,Thor Freudenthal,Logan Lerman,"$90,000,000.00 ","$202,200,000.00 "
Pitch Perfect,10/5/2012,Comedy,,Jason Moore,Anna Kendrick,"$17,000,000.00 ","$115,400,000.00 "
Pitch Perfect 2,4/20/2015,Comedy,,Elizabeth Banks,Anna Kendrick,"$29,000,000.00 ","$287,100,000.00 "
Pixels,7/24/2015,Comedy,,Chris Columbus,Adam Sandler,"$129,000,000.00 ","$244,900,000.00 "
Point Break,12/25/2015,Action,,Ericson Core,Edgar Ramirez,"$105,000,000.00 ","$133,700,000.00 "
Polis Evo,9/17/2015,Action,,Ghaz Abu Bakar,Shaheizy Sam,"$2,400,000.00 ","$17,300,000.00 "
Poltergeist,5/22/2015,Horror,,Gil Kenan,Sam Rockwell,"$35,000,000.00 ","$95,400,000.00 "
Pompeii,2/18/2014,Action,,Paul W. S. Anderson,Kit Harington,"$80,000,000.00 ","$117,800,000.00 "
Popstar: Never Stop Never Stopping,6/3/2016,Comedy,,Jorma Taccone,Jorma Taccone,"$20,000,000.00 ","$9,500,000.00 "
Premium Rush,8/24/2012,Action,,David Koepp,Joseph Gordon-Levitt,"$35,000,000.00 ","$31,100,000.00 "
Pride and Prejudice and Zombies,2/5/2016,Comedy,,Burr Steers,Lily James,"$28,000,000.00 ","$16,400,000.00 "
Prisoners,9/20/2013,Crime,,Denis Villeneuve,Jake Gyllenhaal,"$46,000,000.00 ","$122,100,000.00 "
Project Almanac,1/30/2015,Sci-Fi,,Dean Israelite,Jonny Weston,"$12,000,000.00 ","$33,200,000.00 "
Project X,3/2/2012,Comedy,,Nima Nourizadeh,Miles Teller,"$12,000,000.00 ","$102,700,000.00 "
Prometheus,6/8/2012,Sci-Fi,,Ridley Scott,Noomi Rapace,"$130,000,000.00 ","$403,400,000.00 "
Promised Land,12/28/2012,Drama,,Gus Van Sant,Matt Damon,"$15,000,000.00 ","$8,100,000.00 "
R.I.P.D.,7/19/2013,Action,,Robert Schwentke,Ryan Reynolds,"$130,000,000.00 ","$78,300,000.00 "
Race,2/19/2016,Drama,,Stephen Hopkins,Stephan James,"$5,000,000.00 ","$23,500,000.00 "
Raiders of the Lost Ark: The IMAX Experience,9/7/2012,Action,,Steven Spielberg,Harrison Ford,"$18,000,000.00 ","$389,900,000.00 "
Rams,5/15/2015,Drama,,Grímur Hákonarson,Sigurður Sigurjónsson,"$1,750,000.00 ","$1,740,000.00 "
Ratchet & Clank,4/29/2016,Sci-Fi,,Jerrica Cleland,Paul Giamatti,"$20,000,000.00 ","$12,800,000.00 "
RED 2,7/19/2013,Action,,Dean Parisot,Bruce Willis,"$84,000,000.00 ","$148,100,000.00 "
Red Dawn,11/21/2012,Action,,Dan Bradley,Will Yun Lee,"$65,000,000.00 ","$48,100,000.00 "
Red Tails,1/20/2012,Drama,,Anthony Hemingway,Cuba Gooding Jr.,"$58,000,000.00 ","$50,400,000.00 "
Resident Evil: Retribution,9/14/2012,Action,,Paul W. S. Anderson,Milla Jovovich,"$65,000,000.00 ","$240,200,000.00 "
Ricki and the Flash,8/7/2015,Comedy,,Jonathan Demme,Meryl Streep,"$18,000,000.00 ","$41,300,000.00 "
Riddick,9/6/2013,Action,,David Twohy,Vin Diesel,"$40,000,000.00 ","$100,300,000.00 "
Ride Along,1/17/2014,Action,,Tim Story,Ice Cube,"$25,000,000.00 ","$154,500,000.00 "
Ride Along 2,1/15/2016,Comedy,,Tim Story,Ice Cube,"$40,000,000.00 ","$124,200,000.00 "
Rio 2,3/20/2014,Family,,Carlos Saldanha,Jesse Eisenberg,"$103,000,000.00 ","$500,100,000.00 "
Rise of the Guardians,11/21/2012,Adventure,,Peter Ramsey,Chris Pine,"$145,000,000.00 ","$306,900,000.00 "
Risen,2/19/2016,Drama,,Kevin Reynolds,Joseph Fiennes,"$20,000,000.00 ","$46,100,000.00 "
RoboCop,1/30/2014,Action,,José Padilha,Joel Kinnaman,"$100,000,000.00 ","$242,700,000.00 "
Robot & Frank,8/17/2012,Comedy,,Jake Schreier,Frank Langella,"$2,500,000.00 ","$4,900,000.00 "
Rock of Ages,6/15/2012,Musical,,Adam Shankman,Julianne Hough,"$75,000,000.00 ","$59,400,000.00 "
Rock the Kasbah,10/22/2015,Comedy,,Barry Levinson,Bill Murray,"$15,000,000.00 ","$3,400,000.00 "
Romeo and Juliet,7/26/2013,Drama,,Carlo Carlei,Hailee Steinfeld,"$15,000,000.00 ","$3,000,000.00 "
Room,9/4/2015,Drama,,Lenny Abrahamson,Brie Larson,"$13,000,000.00 ","$36,000,000.00 "
Run All Night,3/13/2015,Action,,Jaume Collet-Serra,Liam Neeson,"$61,600,000.00 ","$71,700,000.00 "
"Runner, Runner",9/27/2013,Crime,,Brad Furman,Ben Affleck,"$30,000,000.00 ","$30,000,000.00 "
Rush,9/20/2013,Action,,Ron Howard,Chris Hemsworth,"$38,000,000.00 ","$90,200,000.00 "
Sabotage,3/19/2014,Action,,David Ayer,Arnold Schwarzenegger,"$35,000,000.00 ","$17,500,000.00 "
Safe House,2/10/2012,Action,,Daniel Espinosa,Denzel Washington,"$85,000,000.00 ","$208,100,000.00 "
Salmon Fishing in the Yemen,3/9/2012,Drama,,Lasse Hallström,Ewan McGregor,"$14,400,000.00 ","$34,600,000.00 "
Savages,7/6/2012,Crime,,Oliver Stone,Taylor Kitsch,"$45,000,000.00 ","$83,000,000.00 "
Scary Movie 5,4/12/2013,Comedy,,Malcolm D. Lee,Ashley Tisdale,"$20,000,000.00 ","$78,400,000.00 "
Secret in Their Eyes,11/20/2015,Crime,,Billy Ray,Julia Roberts,"$19,500,000.00 ","$32,200,000.00 "
Self/less,7/10/2015,Drama,,Tarsem Singh,Ryan Reynolds,"$26,000,000.00 ","$30,500,000.00 "
Selma,12/25/2014,Drama,,Ava DuVernay,David Oyelowo,"$20,000,000.00 ","$66,800,000.00 "
Seventh Son,12/17/2014,Fantasy,,Sergei Bodrov,Sergei Bodrov (director) Ben Barnes,"$95,000,000.00 ","$114,200,000.00 "
Shaun the Sheep Movie,1/24/2015,Adventure,,Mark Burton,Justin Fletcher,"$25,000,000.00 ","$106,000,000.00 "
Sicario,5/19/2015,Crime,,Denis Villeneuve,Emily Blunt,"$30,000,000.00 ","$84,900,000.00 "
Side Effects,2/8/2013,Crime,,Steven Soderbergh,Rooney Mara,"$30,000,000.00 ","$66,700,000.00 "
Silent Hill: Revelation 3D,10/26/2012,Horror,,Michael J. Bassett,Adelaide Clemens,"$20,000,000.00 ","$52,300,000.00 "
Silver Linings Playbook,11/16/2012,Drama,,David O. Russell,Bradley Cooper,"$21,000,000.00 ","$236,400,000.00 "
Sin City: A Dame to Kill For,8/19/2014,Crime,,Frank Miller,Jessica Alba,"$65,000,000.00 ","$39,400,000.00 "
Sinister,10/12/2012,Horror,,Scott Derrickson,Ethan Hawke,"$3,000,000.00 ","$77,700,000.00 "
Sinister 2,8/21/2015,Horror,,Ciaran Foy,James Ransone,"$10,000,000.00 ","$52,900,000.00 "
Sisters,12/18/2015,Comedy,,Jason Moore,Amy Poehler,"$30,000,000.00 ","$105,000,000.00 "
Snitch,2/22/2013,Action,,Ric Roman Waugh,Dwayne Johnson,"$15,000,000.00 ","$57,800,000.00 "
Snow White and the Huntsman,6/1/2012,Action,,Rupert Sanders,Charlize Theron,"$170,000,000.00 ","$396,600,000.00 "
Son of God,2/28/2014,Drama,,Christopher Spencer,Diogo Morgado,"$22,000,000.00 ","$67,800,000.00 "
Son of Saul,5/15/2015,Drama,,László Nemes,Géza Röhrig,"$1,500,000.00 ","$6,200,000.00 "
Southpaw,6/15/2015,Drama,,Antoine Fuqua,Jake Gyllenhaal,"$30,000,000.00 ","$92,000,000.00 "
Spotlight,9/3/2015,Drama,,Tom McCarthy,Mark Ruffalo,"$20,000,000.00 ","$88,300,000.00 "
Spy,5/15/2015,Action,,Paul Feig,Melissa McCarthy,"$65,000,000.00 ","$235,700,000.00 "
St. Vincent,9/5/2014,Comedy,,Theodore Melfi,Bill Murray,"$13,000,000.00 ","$54,800,000.00 "
Stand by Me Doraemon,8/8/2014,Animation,,Takashi Yamazaki,Wasabi Mizuta,"$35,000,000.00 ","$196,400,000.00 "
Star Trek Beyond,7/22/2016,Action,,Justin Lin,Chris Pine,"$185,000,000.00 ","$243,000,000.00 "
Step Up: All In,8/8/2014,Drama,,Trish Sie,Ryan Guzman,"$45,000,000.00 ","$86,200,000.00 "
Steve Jobs,9/5/2015,Biography,,Danny Boyle,Michael Fassbender,"$30,000,000.00 ","$34,400,000.00 "
Straight Outta Compton,8/11/2015,Biography,,F. Gary Gray,O'Shea Jackson,"$50,000,000.00 ","$201,600,000.00 "
Suffragette,9/4/2015,Drama,,Sarah Gavron,Carey Mulligan,"$14,000,000.00 ","$32,000,000.00 "
Suicide Squad,8/5/2016,Action,,David Ayer,Will Smith,"$175,000,000.00 ","$636,700,000.00 "
Taken 2,10/5/2012,Action,,Olivier Megaton,Liam Neeson,"$43,000,000.00 ","$376,100,000.00 "
Tammy,7/2/2014,Comedy,,Ben Falcone,Melissa McCarthy,"$20,000,000.00 ","$100,500,000.00 "
Ted,6/29/2012,Comedy,,Seth MacFarlane,Mark Wahlberg,"$51,000,000.00 ","$549,400,000.00 "
Ted 2,6/24/2015,Comedy,,Seth MacFarlane,Alec Sulkin,"$68,000,000.00 ","$216,700,000.00 "
Teenage Mutant Ninja Turtles,7/29/2014,Action,,Jonathan Liebesman,Megan Fox,"$125,000,000.00 ","$493,300,000.00 "
Teenage Mutant Ninja Turtles: Out of the Shadows,5/22/2016,Action,,Dave Green,Megan Fox,"$135,000,000.00 ","$242,500,000.00 "
Terminator Genisys,6/22/2015,Sci-Fi,,Alan Taylor,Arnold Schwarzenegger,"$155,000,000.00 ","$440,600,000.00 "
Texas Chainsaw 3D,1/4/2013,Horror,,John Luessenhop,Alexandra Daddario,"$20,000,000.00 ","$47,200,000.00 "
That Awkward Moment,1/27/2014,Comedy,,Tom Gormican,Zac Efron,"$8,000,000.00 ","$40,500,000.00 "
The 33,8/6/2015,Drama,,Patricia Riggen,Antonio Banderas,"$26,000,000.00 ","$24,900,000.00 "
The 5th Wave,1/22/2016,Sci-Fi,,J Blakeson,Chloë Grace Moretz,"$35,000,000.00 ","$110,700,000.00 "
The Age of Adaline,4/24/2015,Romance,,Lee Toland Krieger,Blake Lively,"$25,000,000.00 ","$65,700,000.00 "
The Amazing Spider-Man,7/3/2012,Action,,Marc Webb,Andrew Garfield,"$230,000,000.00 ","$757,900,000.00 "
The Angry Birds Movie,5/5/2016,Comedy,,Clay Kaytis,Jason Sudeikis,"$73,000,000.00 ","$346,900,000.00 "
The Best Exotic Marigold Hotel ₪,5/4/2012,Comedy,,John Madden,Judi Dench,"$10,000,000.00 ","$136,800,000.00 "
The Big Short,12/11/2015,Biography,,Adam McKay,Religious Bale,"$28,000,000.00 ","$133,300,000.00 "
The Bling Ring,6/14/2013,Comedy,,Sofia Coppola,Emma Watson,"$8,000,000.00 ","$19,100,000.00 "
The Book of Life,10/12/2014,Family,,Jorge R. Gutierrez,Christina Applegate,"$50,000,000.00 ","$99,800,000.00 "
The Boss,4/8/2016,Comedy,,Ben Falcone,Melissa McCarthy,"$29,000,000.00 ","$78,600,000.00 "
The Bourne Legacy,8/10/2012,Action,,Tony Gilroy,Jeremy Renner,"$125,000,000.00 ","$276,100,000.00 "
The Boxtrolls,8/31/2014,Family,,Anthony Stacchi,Ben Kingsley,"$60,000,000.00 ","$109,300,000.00 "
The Boy,1/22/2016,Horror,,William Brent Bell,Lauren Cohan,"$10,000,000.00 ","$64,200,000.00 "
The Butler,8/16/2013,Drama,,Lee Daniels,Forest Whitaker,"$30,000,000.00 ","$176,600,000.00 "
The Cabin in the Woods,4/13/2012,Horror,,Drew Goddard,Richard Jenkins,"$30,000,000.00 ","$66,500,000.00 "
The Call,3/15/2013,Mystery,,Brad Anderson,Abigail Breslin,"$13,000,000.00 ","$68,600,000.00 "
The Campaign,8/10/2012,Comedy,,Jay Roach,Will Ferrell,"$95,000,000.00 ","$104,900,000.00 "
The Cold Light of Day,9/7/2012,Action,,Mabrouk El Mechri,Henry Cavill,"$20,000,000.00 ","$16,900,000.00 "
The Collection,11/30/2012,Horror,,Marcus Dunstan,Josh Stewart,"$10,000,000.00 ","$8,900,000.00 "
The Conjuring,7/19/2013,Thriller,,James Wan,Patrick Wilson,"$20,000,000.00 ","$318,000,000.00 "
The Conjuring 2,6/7/2016,Horror,,James Wan,Patrick Wilson,"$40,000,000.00 ","$319,500,000.00 "
The Croods,3/22/2013,Adventure,,Chris Sanders,Nicolas Cage,"$135,000,000.00 ","$587,200,000.00 "
The Danish Girl,9/5/2015,Drama,,Tom Hooper,Eddie Redmayne,"$15,000,000.00 ","$64,200,000.00 "
The Darkness,5/13/2016,Horror,,Greg McLean,Kevin Bacon,"$4,000,000.00 ","$10,900,000.00 "
The Devil Inside,1/6/2012,Horror,,William Brent Bell,Suzan Crowley,"$1,000,000.00 ","$101,800,000.00 "
The Dictator,5/16/2012,Comedy,,Larry Charles,Sacha Baron Cohen,"$65,000,000.00 ","$179,400,000.00 "
The Divergent Series: Allegiant,3/18/2016,Adventure,,Robert Schwentke,Shailene Woodley,"$110,000,000.00 ","$179,200,000.00 "
The Divergent Series: Insurgent,3/19/2015,Sci-Fi,,Robert Schwentke,Shailene Woodley,"$110,000,000.00 ","$297,300,000.00 "
The Drop,9/12/2014,Drama,,Michaël R. Roskam,Tom Hardy,"$12,600,000.00 ","$18,700,000.00 "
The Duff,2/12/2015,Comedy,,Ari Sandel,Mae Whitman,"$8,500,000.00 ","$43,500,000.00 "
The East,5/31/2013,Crime,,Zal Batmanglij,Brit Marling,"$6,500,000.00 ","$2,400,000.00 "
The Equalizer,9/7/2014,Thriller,,Antoine Fuqua,Denzel Washington,"$55,000,000.00 ","$192,300,000.00 "
The Expendables 2,8/17/2012,Action,,Simon West,Sylvester Stallone,"$100,000,000.00 ","$305,400,000.00 "
The Expendables 3,8/4/2014,Action,,Patrick Hughes,Sylvester Stallone,"$90,000,000.00 ","$206,200,000.00 "
The Family,9/13/2013,Crime,,Luc Besson,Robert De Niro,"$30,000,000.00 ","$78,400,000.00 "
The Fault in Our Stars,5/16/2014,Drama,,Josh Boone,Shailene Woodley,"$13,000,000.00 ","$307,200,000.00 "
The Five-Year Engagement,4/27/2012,Comedy,,Nicholas Stoller,Jason Segel,"$30,000,000.00 ","$53,900,000.00 "
The Forest,1/8/2016,Horror,,Jason Zada,Natalie Dormer,"$10,000,000.00 ","$37,600,000.00 "
The Gift,7/30/2015,Thriller,,Joel Edgerton,Jason Bateman,"$5,000,000.00 ","$59,000,000.00 "
The Giver,8/11/2014,Sci-Fi,,Phillip Noyce,Jeff Bridges,"$25,000,000.00 ","$67,000,000.00 "
The Grand Budapest Hotel,2/6/2014,Comedy,,Wes Anderson,Ralph Fiennes,"$23,000,000.00 ","$174,800,000.00 "
The Great Gatsby,5/10/2013,Drama,,Baz Luhrmann,Leonardo DiCaprio,"$105,000,000.00 ","$351,000,000.00 "
The Grey,1/27/2012,Action,,Joe Carnahan,Liam Neeson,"$25,000,000.00 ","$77,300,000.00 "
The Gunman,3/20/2015,Thriller,,Pierre Morel,Sean Penn,"$40,000,000.00 ","$24,200,000.00 "
The Hangover Part III,5/23/2013,Comedy,,Todd Phillips,Bradley Cooper,"$103,000,000.00 ","$362,000,000.00 "
The Hateful Eight,12/25/2015,Drama,,Quentin Tarantino,Samuel L. Jackson,"$44,000,000.00 ","$155,800,000.00 "
The Heat,6/28/2013,Action,,Paul Feig,Sandra Bullock,"$43,000,000.00 ","$229,900,000.00 "
The Hobbit: The Battle of the Five Armies,12/1/2014,Adventure,,Peter Jackson,Ian McKellen,"$250,000,000.00 ","$956,000,000.00 "
The Host,3/29/2013,Sci-Fi,,Andrew Niccol,Saoirse Ronan,"$40,000,000.00 ","$63,300,000.00 "
The Hundred-Foot Journey,8/8/2014,Drama,,Lasse Hallström,Helen Mirren,"$22,000,000.00 ","$88,900,000.00 "
The Hunger Games,3/23/2012,Action,,Gary Ross,Jennifer Lawrence,"$78,000,000.00 ","$694,400,000.00 "
The Hunger Games: Mockingjay – Part 1,11/10/2014,Sci-Fi,,Francis Lawrence,Jennifer Lawrence,"$125,000,000.00 ","$755,400,000.00 "
The Hunger Games: Mockingjay – Part 2,11/4/2015,Sci-Fi,,Francis Lawrence,Jennifer Lawrence,"$160,000,000.00 ","$653,400,000.00 "
The Huntsman: Winter's War,4/22/2016,Fantasy,,Cedric Nicolas-Troyan,Chris Hemsworth,"$115,000,000.00 ","$164,600,000.00 "
The Iceman,5/3/2013,Drama,,Ariel Vromen,Morgan Land (screenplay),"$10,000,000.00 ","$4,400,000.00 "
The Identical,4/17/2014,Religious,,Dustin Marcellino,Ray Liotta,"$16,000,000.00 ","$2,800,000.00 "
The Imitation Game,8/29/2014,Drama,,Morten Tyldum,Benedict Cumberbatch,"$14,000,000.00 ","$233,600,000.00 "
The Impossible,12/21/2012,Drama,,Juan Antonio Bayona,Naomi Watts,"$45,000,000.00 ","$180,300,000.00 "
The Incredible Burt Wonderstone,3/15/2013,Comedy,,Don Scardino,Steve Carell,"$34,000,000.00 ","$27,400,000.00 "
The Infiltrator,7/13/2016,Drama,,Brad Furman,Bryan Cranston,"$47,500,000.00 ","$15,200,000.00 "
The Intern,9/15/2015,Comedy,,Nancy Meyers,Robert De Niro,"$44,000,000.00 ","$194,600,000.00 "
The Internship,6/7/2013,Comedy,,Shawn Levy,Vince Vaughn,"$58,000,000.00 ","$93,000,000.00 "
The Interview,12/11/2014,Action,,Seth Rogen,Seth Rogen,"$44,000,000.00 ","$11,300,000.00 "
The Judge,9/4/2014,Comedy,,David Dobkin,Robert Downey,"$50,000,000.00 ","$84,400,000.00 "
The Lady in the Van,12/4/2015,Comedy,,Nicholas Hytner,Maggie Smith,"$6,000,000.00 ","$41,400,000.00 "
The Last Exorcism Part II,3/1/2013,Horror,,Ed Gass-Donnelly,Ashley Bell,"$5,000,000.00 ","$15,100,000.00 "
The Last Stand,1/18/2013,Action,,Kim Ji-woon,Arnold Schwarzenegger,"$45,000,000.00 ","$48,300,000.00 "
The Last Witch Hunter,10/23/2015,Action,,Breck Eisner,Vin Diesel,"$90,000,000.00 ","$140,400,000.00 "
The Lazarus Effect,2/27/2015,Horror,,David Gelb,Olivia Wilde,"$3,300,000.00 ","$38,400,000.00 "
The Legend of Hercules,1/10/2014,Action,,Renny Harlin,Kellan Lutz,"$70,000,000.00 ","$61,300,000.00 "
The Legend of Tarzan,7/1/2016,Action,,David Yates,Alexander Skarsgard,"$180,000,000.00 ","$352,700,000.00 "
The Lego Movie,2/1/2014,Family,,Phil Lord,Chris Pratt,"$60,000,000.00 ","$469,200,000.00 "
The Letters,12/4/2015,Drama,,William Riead,Juliet Stevenson,"$1,000,000.00 ","$1,600,000.00 "
The Lucky One,4/20/2012,Drama,,Scott Hicks,Zac Efron,"$25,000,000.00 ","$99,400,000.00 "
The Man from U.N.C.L.E.,8/7/2015,Action,,Guy Ritchie,Henry Cavill,"$75,000,000.00 ","$109,800,000.00 "
The Man with the Iron Fists,11/2/2012,Action,,RZA,Russell Crowe,"$20,000,000.00 ","$20,300,000.00 "
The Martian,9/11/2015,Sci-Fi,,Ridley Scott,Matt Damon,"$108,000,000.00 ","$630,200,000.00 "
The Master,9/14/2012,Drama,,Paul Thomas Anderson,Philip Seymour Hoffman,"$32,000,000.00 ","$28,300,000.00 "
The Maze Runner,9/19/2014,Sci-Fi,,Wes Ball,Dylan O'Brien,"$34,000,000.00 ","$348,300,000.00 "
The Mermaid,2/8/2016,Sci-Fi,,Stephen Chow,Deng Chao,"$60,720,000.00 ","$553,800,000.00 "
The Monuments Men,2/7/2014,Drama,,George Clooney,George Clooney,"$70,000,000.00 ","$155,000,000.00 "
The Mortal Instruments: City of Bones,8/21/2013,Action,,Harald Zwart,Lily Collins,"$60,000,000.00 ","$90,600,000.00 "
The Night Before,11/20/2015,Comedy,,Jonathan Levine,Joseph Gordon-Levitt,"$25,000,000.00 ","$52,400,000.00 "
The November Man,8/27/2014,Thriller,,Roger Donaldson,Pierce Brosnan,"$15,000,000.00 ","$34,800,000.00 "
The Nut Job,1/11/2014,Family,,Peter Lepeniotis,Will Arnett,"$42,800,000.00 ","$120,900,000.00 "
The Oogieloves in the Big Balloon Adventure,8/29/2012,Family,,Matthew Diamond,Toni Braxton,"$20,000,000.00 ","$1,100,000.00 "
The Other Woman,3/31/2014,Comedy,,Nick Cassavetes,Cameron Diaz,"$40,000,000.00 ","$196,700,000.00 "
The Peanuts Movie,11/1/2015,Animation,,Steve Martino,Bill Melendez,"$99,000,000.00 ","$246,200,000.00 "
The Perfect Guy,9/2/2015,Thriller,,David M. Rosenthal,Sanaa Lathan,"$18,000,000.00 ","$60,300,000.00 "
The Perfect Match,3/11/2016,Romance,,Bille Woodruff,Terrence J,"$5,000,000.00 ","$10,400,000.00 "
The Perks of Being a Wallflower,9/21/2012,Drama,,Stephen Chbosky,Emma Watson,"$13,000,000.00 ","$33,400,000.00 "
The Pirates! Band of Misfits,4/27/2012,Comedy,,Peter Lord,Hugh Grant,"$55,000,000.00 ","$123,000,000.00 "
The Place Beyond the Pines,3/29/2013,Crime,,Derek Cianfrance,Ryan Gosling,"$15,000,000.00 ","$47,000,000.00 "
The Possession,8/31/2012,Horror,,Ole Bornedal,Jeffrey Dean Morgan,"$14,000,000.00 ","$78,500,000.00 "
The Purge,5/31/2013,Sci-Fi,,James DeMonaco,Ethan Hawke,"$3,000,000.00 ","$89,300,000.00 "
The Purge: Election Year,7/1/2016,Horror,,James DeMonaco,Frank Grillo,"$10,000,000.00 ","$105,600,000.00 "
The Raid 2,1/21/2014,Action,,Gareth Evans,Iko Uwais,"$4,500,000.00 ","$6,600,000.00 "
The Raid: Redemption ₪,3/23/2012,Action,,Gareth Evans,Iko Uwais,"$1,100,000.00 ","$9,140,000.00 "
The Raven,4/27/2012,Thriller,,James McTeigue,John Cusack,"$26,000,000.00 ","$29,700,000.00 "
The Revenant,12/25/2015,Thriller,,Alejandro G. Iñárritu,Leonardo DiCaprio,"$135,000,000.00 ","$533,000,000.00 "
The Second Best Exotic Marigold Hotel,2/26/2015,Comedy,,John Madden,Judi Dench,"$10,000,000.00 ","$86,000,000.00 "
The Second Mother,1/25/2015,Drama,,Anna Muylaert,Regina Casé,"$4,000,000.00 ","$6,200,000.00 "
The Secret Life of Pets,7/8/2016,Adventure,,Chris Renaud,Louis C.K.,"$75,000,000.00 ","$724,900,000.00 "
The Secret World of Arrietty,2/17/2012,Adventure,,Gary Rydstrom,Will Arnett,"$23,000,000.00 ","$145,600,000.00 "
The Shallows,6/21/2016,Horror,,Jaume Collet-Serra,Blake Lively,"$17,000,000.00 ","$93,200,000.00 "
The Signal,1/20/2014,Sci-Fi,,William Eubank,Brenton Thwaites,"$4,000,000.00 ","$2,420,000.00 "
The Single Moms Club,3/14/2014,Comedy,,Tyler Perry,Tyler Perry,"$8,000,000.00 ","$16,300,000.00 "
The Smurfs 2,7/31/2013,Adventure,,Raja Gosnell,Neil Patrick Harris,"$105,000,000.00 ","$347,500,000.00 "
The Spectacular Now,8/2/2013,Drama,,James Ponsoldt,Miles Teller,"$2,500,000.00 ","$6,900,000.00 "
The SpongeBob Movie: Sponge Out of Water,2/6/2015,Adventure,,Paul Tibbitt,Paul Tibbitt (director),"$74,000,000.00 ","$323,400,000.00 "
The Sweet Escape,6/10/2015,Comedy,,Bruno Podalydès,Bruno Podalydès,"$3,800,000.00 ","$3,300,000.00 "
The Theory of Everything,9/7/2014,Biography,,James Marsh,Eddie Redmayne,"$15,000,000.00 ","$123,700,000.00 "
The Three Stooges,4/13/2012,Comedy,,Bobby Farrelly,Chris Diamantopoulos,"$30,000,000.00 ","$54,800,000.00 "
The Transporter Refueled,9/4/2015,Action,,Camille Delamarre,Ed Skrein,"$25,000,000.00 ","$72,600,000.00 "
The Twilight Saga: Breaking Dawn – Part 2,11/16/2012,Fantasy,,Bill Condon,Kristen Stewart,"$120,000,000.00 ","$829,700,000.00 "
The Vatican Tapes,7/25/2015,Horror,,Mark Neveldine,Kathleen Robertson,"$13,000,000.00 ","$13,500,000.00 "
The Visit,9/8/2015,Horror,,M. Night Shyamalan,Kathryn Hahn,"$5,000,000.00 ","$98,500,000.00 "
The Walk,9/30/2015,Biography,,Robert Zemeckis,Joseph Gordon-Levitt,"$45,000,000.00 ","$61,200,000.00 "
The Watch,7/27/2012,Comedy,,Akiva Schaffer,Ben Stiller,"$68,000,000.00 ","$68,300,000.00 "
The Water Diviner,12/26/2014,Drama,,Russell Crowe,Cem Yılmaz,"$22,500,000.00 ","$30,800,000.00 "
